created_at,id_str,text,retweet_count,favorite_count
Sun Jul 19 12:28:23 +0000 2020,1284827425503956992,"#Israel : selon les chiffres du ministère de la Santé, en une semaine, 106 personnes ont été contaminées par le… https://t.co/QRn7bzjMdd",33,96
Sun Jul 19 12:28:12 +0000 2020,1284827379387564032,RT @Dallas_USPC: Les conneries sur le corona et la 5G ça me termine sérieux mdr https://t.co/qOxB5fs3Ez,18,0
Sun Jul 19 12:27:10 +0000 2020,1284827118052888576,@F_Desouche Sans oublier que les dits cartels ont suppléé à l'incurie de l'état pendant le confinement et la crise… https://t.co/2hk1CMwjej,0,0
Sun Jul 19 12:26:47 +0000 2020,1284827020808146947,"@JeuDecide J'étais en vacances depuis 2 semaines et j'ai pas vu un seul masque sur quiconque

Enfin si, ceux qui ét… https://t.co/A3F7XIrFUk",0,1
Sun Jul 19 12:26:07 +0000 2020,1284826852444581888,"RT @seguin_nathalie: La vérité est que la Covid-19 ns a été transmise par des ratons-laveurs. En preuve, il porte un masque et se lave trjs…",2485,0
Sun Jul 19 12:25:52 +0000 2020,1284826791744606208,"RT @l0losempai: Oki mes puces, j’ai besoin que vous partagiez et surtt que vs venez consommer au resto africain de ma sœur, la Case d’Aliêf…",668,0
Sun Jul 19 12:25:51 +0000 2020,1284826785482444800,hier a 2h du matin ma cousine et moi on a fait un plan de ouf pour qu'elle vienne dormir chez moi pour qu'au final… https://t.co/e13u699Cn5,0,0
Sun Jul 19 12:25:10 +0000 2020,1284826613486694401,"@mimig1953 @Solanden @ZohraBitan Exact 
Ce qui est etrange pour un corona 
Les nouveaux patients en réa s aggravent… https://t.co/xXsnjB5hMe",0,0
Sun Jul 19 12:25:00 +0000 2020,1284826573116518400,@join2culasse @tiloulou69 @jojo_nnd @Conflits_FR si les gens d’autres pays avec un taux de cas beaucoup plus élevé… https://t.co/A2xcmshidq,0,1
Sun Jul 19 12:24:13 +0000 2020,1284826377406099458,"@Marcelinho1M12 @Call_meML Ptdr ta pas vu tout le soutien des noirs pour les chinois avec le corona, c’était presqu… https://t.co/csMOSs7TIG",0,6
Sun Jul 19 12:22:35 +0000 2020,1284825964887920643,On dirait il a trouver le vaccin contre le corona https://t.co/XPrCMnxaJe,0,0
Sun Jul 19 12:22:32 +0000 2020,1284825952980217857,"Après la crise mondiale causée par le CoviD-19 (virus Corona), HYDRO-QUEBEC INTERNATIONAL (HQI) recrute du personne… https://t.co/ZTPEUPmyNu",0,2
Sun Jul 19 12:21:55 +0000 2020,1284825794917916673,"Je vois tout le monde partir en vacance avec ses potes, pendant que mon voyage à Malte avec mes potes est annulé à cause du corona 🤡",0,1
Sun Jul 19 12:20:59 +0000 2020,1284825560930299904,"RT @mathurin509: Nom: Covid 

Prénom: corona

Sexe : virus

Âge : 19

Nationalité : aide moi stp..........?",6,0
Sun Jul 19 12:20:39 +0000 2020,1284825477153263618,@lequidampost @afpfr @antonioguterres Faut arrêter de mettre la faute sur le corona mais sur les mesures prises par… https://t.co/TlInpyA9Iy,0,1
Sun Jul 19 12:20:11 +0000 2020,1284825360094367744,"@ismaDinter frère je veux retourner en cours un minimum moi mdr et ma 1ere saison en u20 aussi, non c'est mort fuck corona",0,0
Sun Jul 19 12:19:40 +0000 2020,1284825231295741952,Marseille continuez à croire que le corona c est terminé on va tous mourir,0,0
Sun Jul 19 12:18:57 +0000 2020,1284825050219253762,RT @daphnegdnz: c’était l’objectif (ou en Espagne) mais le corona en a décidé autrement,1,0
Sun Jul 19 12:18:21 +0000 2020,1284824899727568897,RT @Marlo7bks: Le corona i va revenir fort vs croyez c’est des blague,3,0
Sun Jul 19 12:17:50 +0000 2020,1284824770761154560,"@MoweKro Fun fact  : Jsuis mort du Corona dans FF8
https://t.co/c3kkmjehHM",0,1
Sun Jul 19 12:17:01 +0000 2020,1284824564120395778,RT @___MBK___: Y ma pas vu depuis le début du corona il va faire un infarctus https://t.co/87S2QnlvQM,20,0
Sun Jul 19 12:16:53 +0000 2020,1284824531983650821,"RT @julienbahloul: La force de cette photo, prise hier soir en marge d'une manifestation contre #Netanyahu à #Jérusalem...
#Israel #Corona.…",28,0
Sun Jul 19 12:16:53 +0000 2020,1284824531711000577,"RT @mathurin509: Nom: Covid 

Prénom: corona

Sexe : virus

Âge : 19

Nationalité : aide moi stp..........?",6,0
